Brazil,1,1
India,8,1
Korea,8,1
United States,2,1
Brazil,6,2
China,10,2
India,9,2
Ireland,7,2
Japan,5,2
Australia,7,3
China,5,3
France,3,3
Germany,4,3
Great Britain,5,3
Russia,4,3
China,10,4
Germany,20,4
India,5,4
Japan,1,4
Korea,28,4
Russia,1,4
Australia,4,5
Iran,20,5
Japan,6,5
Ukraine,3,5
Brazil,9,6
China,7,6
Australia,18,7
France,8,7
Iran,6,7
Ireland,7,7
Mexico,5,7
India,4,8
Iran,9,8
Korea,4,8
China,5,9
Germany,6,9
Iran,4,9
Japan,7,9
Mexico,9,9
United States,9,9
Germany,26,10
Japan,2,10
Korea,9,10
Mexico,3,10
United States,2,10
Brazil,5,11
Ireland,1,11
Korea,4,11
Russia,3,11
Australia,5,12
Brazil,6,12
Germany,8,12
Japan,12,12
Russia,9,12
Australia,4,13
Brazil,16,13
China,2,13
France,15,13
Germany,2,13
Great Britain,10,13
India,4,13
Ireland,2,13
Russia,10,13
Ukraine,6,13
Australia,9,14
Brazil,6,14
Great Britain,4,14
Mexico,5,14
Ukraine,7,14
Germany,13,15
India,2,15
Ireland,2,15
Mexico,3,15
China,2,16
Great Britain,16,16
Mexico,2,16
United States,9,16
Brazil,15,17
China,9,17
France,1,17
Great Britain,3,17
Japan,15,17
Korea,7,17
Brazil,7,18
China,3,18
France,3,18
Germany,2,18
Great Britain,2,18
Ireland,11,18
Japan,1,18
Korea,2,18
Mexico,2,18
Russia,6,18
Australia,20,19
Iran,3,19
United States,8,19
Australia,5,20
India,6,20
Korea,8,20
United States,10,20
Great Britain,6,21
Iran,5,21
Ireland,10,21
Japan,12,21
Mexico,10,21
Ukraine,6,21
United States,6,21
Australia,10,22
Germany,8,22
Great Britain,10,22
India,3,22
Mexico,3,22
Russia,4,22
United States,2,22
Brazil,1,23
Germany,10,23
Korea,6,23
Mexico,6,23
Russia,6,23
Ukraine,7,23
France,5,24
India,4,24
Iran,9,24
Ireland,8,24
Korea,8,24
Ukraine,33,24
Australia,3,25
Brazil,1,25
France,10,25
Germany,1,25
Ireland,5,25
Mexico,7,25
France,8,26
Germany,9,26
Japan,18,26
Korea,5,26
Ukraine,1,26
Australia,6,27
France,10,27
Great Britain,4,27
Korea,6,27
Mexico,8,27
Australia,2,28
Brazil,10,28
Ukraine,8,28
France,2,32
Great Britain,4,32
Iran,3,32
Korea,8,32
Mexico,9,32
Australia,8,33
China,1,33
Ireland,8,33
Japan,3,33
Mexico,2,33
Ukraine,8,33
Brazil,4,34
India,7,34
Iran,9,34
Korea,1,34
United States,2,34
China,6,35
Germany,3,35
India,2,35
Mexico,7,35
Ukraine,18,35
China,10,36
