Ukraine,205,Socks,4,1
United States,211,Glasses,10,1
Brazil,215,Jackets,6,1
Iran,224,Wallet,10,1
China,200,Jeans,10,2
Ireland,203,Sandals,7,2
India,204,Formal Wear,8,2
Japan,206,Swimwear,4,2
France,225,Cap,4,2
India,225,Cap,8,2
Great Britain,206,Swimwear,3,3
Iran,206,Swimwear,1,3
Australia,211,Glasses,7,3
Korea,211,Glasses,2,3
Korea,214,Suits,2,3
Iran,219,Boxers,7,3
India,224,Wallet,2,3
India,207,Kahkis,2,4
India,214,Suits,5,4
Russia,217,Ties,7,4
United States,218,Briefs,10,4
China,226,Watch,5,4
France,202,Shoes,1,5
Ukraine,204,Formal Wear,6,5
Ukraine,214,Suits,6,5
Ukraine,225,Cap,4,5
Japan,206,Swimwear,10,6
Iran,208,Gowns,6,6
France,211,Glasses,1,6
Great Britain,212,Sunglasses,2,6
Japan,218,Briefs,8,6
Ireland,222,Earrings,1,6
Mexico,202,Shoes,5,7
Australia,206,Swimwear,10,7
Brazil,209,Dresses,5,7
Mexico,210,T-shirts,7,7
Korea,213,Tracksuit,2,7
Ireland,221,Scarves,5,7
Germany,224,Wallet,1,7
Mexico,224,Wallet,14,7
Great Britain,225,Cap,6,7
United States,201,Underwear,2,8
France,202,Shoes,6,8
Russia,206,Swimwear,10,8
Iran,222,Earrings,10,8
Great Britain,223,Belts,3,8
United States,225,Cap,8,8
Iran,204,Formal Wear,10,9
Brazil,211,Glasses,5,9
Ukraine,213,Tracksuit,8,9
Mexico,216,Coats,9,9
Korea,217,Ties,9,9
Korea,221,Scarves,9,9
United States,226,Watch,2,9
Mexico,203,Sandals,1,10
Iran,206,Swimwear,7,10
Iran,210,T-shirts,9,10
Ukraine,213,Tracksuit,3,10
Korea,223,Belts,9,10
Russia,223,Belts,2,10
Ukraine,226,Watch,7,10
France,204,Formal Wear,10,11
Ireland,205,Socks,9,11
France,209,Dresses,10,11
Mexico,210,T-shirts,1,11
Brazil,212,Sunglasses,3,11
Ukraine,212,Sunglasses,2,11
Great Britain,214,Suits,9,11
Iran,214,Suits,7,11
China,206,Swimwear,10,12
Germany,211,Glasses,5,12
Japan,216,Coats,10,12
Mexico,217,Ties,6,12
China,218,Briefs,10,12
Iran,222,Earrings,5,12
Russia,205,Socks,10,13
India,214,Suits,4,13
Russia,214,Suits,6,13
Germany,225,Cap,8,13
Ireland,201,Underwear,4,14
Mexico,200,Jeans,8,15
Korea,202,Shoes,1,15
Mexico,203,Sandals,14,15
United States,206,Swimwear,10,15
Germany,207,Kahkis,6,15
Japan,207,Kahkis,10,15
Mexico,208,Gowns,8,15
Russia,218,Briefs,1,15
Mexico,222,Earrings,3,15
Germany,225,Cap,8,15
Korea,200,Jeans,5,16
United States,201,Underwear,1,16
United States,205,Socks,9,16
China,207,Kahkis,2,16
Germany,215,Jackets,10,16
Brazil,213,Tracksuit,8,17
Korea,218,Briefs,3,17
Mexico,222,Earrings,2,17
Ireland,224,Wallet,6,17
Great Britain,226,Watch,3,17
Germany,201,Underwear,10,18
Great Britain,204,Formal Wear,4,18
France,200,Jeans,8,19
Germany,205,Socks,1,19
Russia,205,Socks,8,19
Russia,208,Gowns,6,19
Korea,209,Dresses,5,19
China,213,Tracksuit,9,19
France,220,Bow-ties,3,19
Ireland,222,Earrings,4,20
China,224,Wallet,6,20
Great Britain,204,Formal Wear,9,21
Mexico,208,Gowns,10,21
United States,211,Glasses,10,21
India,215,Jackets,4,21
Australia,218,Briefs,4,21
Brazil,223,Belts,2,21
United States,224,Wallet,7,21
