Brazil,105,Electronic Locks,3,1
Japan,106,Drones,1,1
Korea,106,Drones,8,1
United States,107,Computers,18,1
Iran,113,Mouse,8,1
France,102,Phones,4,2
Great Britain,102,Phones,9,2
Mexico,102,Phones,7,2
China,105,Electronic Locks,10,2
Iran,106,Drones,9,2
Ukraine,107,Computers,7,2
Germany,110,Remotes,5,2
Russia,104,Headphones,5,3
Ukraine,104,Headphones,2,3
Russia,107,Computers,4,3
Germany,115,USB,4,3
United States,117,Fridges,1,3
China,103,Microwaves,8,4
Iran,103,Microwaves,3,4
United States,104,Headphones,9,4
Russia,106,Drones,3,4
Korea,107,Computers,4,4
Iran,110,Remotes,12,4
Iran,113,Mouse,1,4
Iran,116,Cables,9,4
Japan,116,Cables,1,4
United States,103,Microwaves,15,5
Germany,109,TVs,8,5
Brazil,113,Mouse,8,5
France,113,Mouse,1,5
Ireland,116,Cables,6,5
Korea,116,Cables,5,5
Ukraine,120,Virtual Assistant,3,5
Germany,100,Laptops,2,7
India,104,Headphones,4,7
France,109,TVs,8,7
France,111,Earbuds,4,7
Ireland,117,Fridges,3,7
Ukraine,117,Fridges,9,7
Ireland,101,Hard Drives,3,8
India,101,Hard Drives,2,9
Ireland,101,Hard Drives,10,9
Ireland,102,Phones,1,9
Ukraine,102,Phones,6,9
China,103,Microwaves,5,9
Great Britain,103,Microwaves,3,9
Great Britain,105,Electronic Locks,2,9
Russia,107,Computers,7,9
Ukraine,110,Remotes,8,9
France,111,Earbuds,10,9
Great Britain,111,Earbuds,2,9
Brazil,114,Webcam,10,9
Ireland,115,USB,1,9
Iran,118,Monitors,10,9
Japan,118,Monitors,20,9
Korea,105,Electronic Locks,10,10
Ukraine,108,Tablets,3,10
Russia,111,Earbuds,4,10
United States,117,Fridges,5,10
United States,118,Monitors,2,10
Germany,114,Webcam,10,11
Korea,115,USB,5,11
Iran,116,Cables,7,11
Germany,120,Virtual Assistant,6,11
Australia,100,Laptops,2,12
Germany,100,Laptops,5,12
India,102,Phones,8,12
Mexico,102,Phones,6,12
United States,102,Phones,8,12
Australia,103,Microwaves,5,12
Brazil,103,Microwaves,9,12
Germany,103,Microwaves,7,12
Korea,103,Microwaves,8,12
Korea,104,Headphones,3,12
United States,104,Headphones,1,12
Ireland,106,Drones,7,12
Brazil,109,TVs,9,12
Brazil,111,Earbuds,10,12
Japan,113,Mouse,6,12
United States,120,Virtual Assistant,1,12
France,100,Laptops,2,13
Korea,101,Hard Drives,1,13
Ukraine,103,Microwaves,5,13
Ireland,106,Drones,2,13
Great Britain,108,Tablets,4,13
Iran,116,Cables,9,13
Brazil,118,Monitors,9,13
Mexico,120,Virtual Assistant,3,13
Mexico,103,Microwaves,5,14
Ukraine,103,Microwaves,7,14
Japan,104,Headphones,3,14
Ukraine,105,Electronic Locks,4,14
China,107,Computers,7,14
France,115,USB,6,14
Russia,115,USB,4,14
Germany,102,Phones,5,15
Japan,103,Microwaves,2,15
Russia,103,Microwaves,7,15
Ireland,107,Computers,10,15
Mexico,111,Earbuds,9,15
Japan,114,Webcam,10,15
India,120,Virtual Assistant,4,15
Iran,120,Virtual Assistant,8,15
France,104,Headphones,5,16
China,107,Computers,8,16
Russia,110,Remotes,15,16
China,111,Earbuds,9,16
Russia,120,Virtual Assistant,5,16
Mexico,101,Hard Drives,2,17
China,103,Microwaves,8,17
