94,Hunting Trap,Gear,5,
61,Staff (Arcane Focus),Gear,5,
11,Splint,Armor,200,
38,Pike,Weapons,5,
25,Dart,Weapons,0.5,
75,Common Clothes,Gear,5,
6,Scale Mail,Armor,50,
6,Scale Mail,Armor,63.51,
13,Shield,Armor,10,
32,Greatsword,Weapons,50,
82,Totem (Druidic Focus),Gear,1,
5,Chain Shirt,Armor,50,
2,Leather,Armor,10,
4,Hide,Armor,10,
26,Shortbow,Weapons,25,
25,Dart,Weapons,0.5,
12,Plate,Armor,1500,
83,Wooden Staff (Druidic Focus),Gear,5,
17,Handaxe,Weapons,5,
12,Plate,Armor,1500,
97,Lamp,Gear,5,
99,Hooded Lantern,Gear,5,
73,Chest,Gear,5,
89,Amulet (Holy Symbol),Gear,5,
109,Waterskin,Gear,2,
29,Flail,Weapons,10,
9,Ring Mail,Armor,30,
42,Trident,Weapons,5,
36,Maul,Weapons,10,
51,Acid (vial),Gear,25,
9,Ring Mail,Armor,30,
12,Plate,Armor,1500,
28,Battleaxe,Weapons,10,
56,Sling Bullets (20),Gear,0.5,
66,Book,Gear,25,
84,Yew Wand (Druidic Focus),Gear,10,
97,Lamp,Gear,5,
6,Scale Mail,Armor,6.02,
73,Chest,Gear,5,
48,Heavy Crossbow,Weapons,50,
93,Hourglass,Gear,25,
24,Light Crossbow,Weapons,25,
13,Shield,Armor,10,
102,null,Gear,50,
77,Fine Clothes,Gear,150,
43,War Pick,Weapons,5,
73,null,Gear,5,
49,Longbow,Weapons,50,
105,Rope (50 ft),Gear,10,
26,Shortbow,Weapons,25,
28,Battleaxe,Weapons,10,
93,Hourglass,Gear,25,
59,Orb (Arcane Focus),Gear,20,
50,Net,Weapons,1,
97,Lamp,Gear,48.44,
106,Spellbook,Gear,50,
26,Shortbow,Weapons,25,
23,Spear,Weapons,10,
51,Acid (vial),Gear,25,
23,Antitoxin (vial),Gear,50,
8,Half Plate,Armor,750,
21,Quarterstaff,Weapons,2,
89,Amulet (Holy Symbol),Gear,5,
2,Leather,Armor,10,
29,Book,Gear,25,
103,Rations (1 day),Gear,5,
81,Sprig of Mistletoe (Druidic Focus),Gear,1,
81,Sprig of Mistletoe (Druidic Focus),Gear,1,
14,Club,Weapons,1,
95,Ink (1 ounce bottle),Gear,1,
85,Grappling Hook,Gear,2,
59,Orb (Arcane Focus),Gear,40.42,
52,Alchemist's Fire (flask),Gear,31.9,
7,Breastplate,Armor,400,
71,Chain (10 ft),Gear,5,
94,Hunting Trap,Gear,5,
5,Chain Shirt,Armor,50,
11,Splint,Armor,200,
11,Splint,Armor,200,
73,Chest,Gear,5,
32,Greatsword,Weapons,50,
102,Potion of Healing,Gear,50,
52,Alchemist's Fire (flask),Gear,50,
44,Warhammer,Weapons,15,
52,Alchemist's Fire (flask),Gear,50,
62,Costume Clothes,Gear,15,
82,Totem (Druidic Focus),Gear,1,
87,Sledgehammer,Gear,2,
102,Potion of Healing,Gear,50,
23,Spear,Weapons,10,
48,Heavy Crossbow,Weapons,50,
75,Common Clothes,Gear,5,
10,Chain Mail,Armor,75,
5,Chain Shirt,Armor,50,
22,Sickle,Weapons,1,
108,null,Gear,1,
18,Javelin,Weapons,5,
71,Chain (10 ft),Gear,5,
53,Arrows (20),Gear,10,
75,Common Clothes,Gear,5,
4,Hide,Armor,10,
105,Rope (50 ft),Gear,10,
35,Longsword,Weapons,15,
40,Scimitar,Weapons,25,
72,Chalk (10 piece),Gear,1,
74,Climber's Kit,Gear,25,
53,Arrows (20),Gear,10,
90,Rapier,Weapons,25,
91,Reliquary (Holy Symbol),Gear,5,
54,Blowgun Needles (50),Gear,10,
10,Chain Mail,Armor,75,
22,Sickle,Weapons,85.72,
10,Chain Mail,Armor,75,
3,Studded Leather,Armor,45,
61,Staff (Arcane Focus),Gear,5,
99,Hooded Lantern,Gear,5,
57,Antitoxin (vial),Gear,50,
41,Rations (1 day),Gear,5,
90,Emblem (Holy Symbol),Gear,5,
17,Rapier,Weapons,25,
8,Half Plate,Armor,94.84,
99,Club,Weapons,1,
92,Holy Water (Flask),Gear,25,
67,Glass Bottle,Gear,2,
71,Chain (10 ft),Gear,5,
60,Rod (Arcane Focus),Gear,10,
27,Sling,Weapons,1,
47,Hand Crossbow,Weapons,75,
104,Robes,Gear,10,
62,Wand (Arcane Focus),Gear,10,
63,null,Gear,20,
105,Rope (50 ft),Gear,10,
14,Club,Weapons,1,
70,Candle,Gear,1,
63,Backpack,Gear,20,
6,Scale Mail,Armor,1.1,
8,Half Plate,Armor,750,
42,Trident,Weapons,5,
63,Backpack,Gear,20,
67,Glass Bottle,Gear,2,
10,Chest,Gear,5,
21,Quarterstaff,Weapons,2,
38,Pike,Weapons,5,
73,Chest,Gear,8.37,
67,null,Gear,2,
6,Scale Mail,Armor,50,
75,Common Clothes,Gear,5,
76,Costume Clothes,Gear,15,
97,Lamp,Gear,5,
19,Light Hammer,Weapons,2,
12,Plate,Armor,1500,
4,Hide,Armor,10,
7,Breastplate,Armor,400,
4,Hide,Armor,10,
14,Club,Weapons,32.06,
39,Rapier,Weapons,25,
20,Mace,Weapons,5,
41,Basic Poison (Vial),Gear,100,
3,Studded Leather,Armor,45,
32,Greatsword,Weapons,50,
8,Half Plate,Armor,750,
90,Emblem (Holy Symbol),Gear,5,
88,Healer's Kit,Gear,5,
57,Antitoxin (vial),Gear,50,
62,Wand (Arcane Focus),Gear,10,
2,Leather,Armor,10,
6,Scale Mail,Armor,50,
79,Component Pouch,Gear,25,
83,null,Gear,5,
16,Greatclub,Weapons,2,
108,Vial,Gear,1,
45,Hammer,Gear,1,
70,Candle,Gear,10.73,
109,Waterskin,Gear,2,
44,Warhammer,Weapons,15,
2,Leather,Armor,10,
77,Fine Clothes,Gear,150,
17,Handaxe,Weapons,5,
100,Oil (Flask),Gear,1,
81,Sprig of Mistletoe (Druidic Focus),Gear,1,
92,Holy Water (Flask),Gear,25,
30,Glaive,Weapons,200,
12,Plate,Armor,1500,
19,Light Hammer,Weapons,2,
80,Crowbar,Gear,2,
64,Ball Bearings (100),Gear,20,
